magnitud,lugar,lat,lon,profundidad,fecha,tipo
5.0,"27 km WNW of Yuyapichis, Peru",-9.5616,-75.2126,114.37,2025-12-01 20:26,Terremoto
2.22,"10 km NE of Running Springs, CA",34.2698333333333,-117.023166666667,5.31,2025-12-01 20:19,Terremoto
5.2,Kermadec Islands region,-27.0971,-176.4663,35.0,2025-12-01 20:08,Terremoto
4.2,"45 km NW of Khandūd, Afghanistan",37.2841,72.0209,108.646,2025-12-01 20:05,Terremoto
2.12,"18 km S of Mesa, Washington",46.409666666666666,-119.02833333333334,-0.17,2025-12-01 19:56,Terremoto
5.1,"86 km SE of Atka, Alaska",51.6012,-173.3977,35.0,2025-12-01 19:21,Terremoto
2.27,"11 km SSE of Maria Antonia, Puerto Rico",17.88,-66.8543333333333,6.3,2025-12-01 19:15,Terremoto
4.4,"4 km SSE of Nuevo Vicente Guerrero (El Chichonal), Mexico",16.4436,-92.8607,207.084,2025-12-01 19:11,Terremoto
2.0680806716568756,"18 km ENE of Willow, Alaska",61.79050827026367,-149.70098876953125,32.55706787109375,2025-12-01 18:45,Terremoto
4.9,"82 km NE of Tadine, New Caledonia",-21.1342,168.5434,10.0,2025-12-01 18:12,Terremoto
5.1,"64 km WNW of Kirakira, Solomon Islands",-10.2568,161.3643,115.387,2025-12-01 17:05,Terremoto
2.053386247313352,"54 km NNW of Petersville, Alaska",62.9295425415039,-151.25692749023438,109.97895050048828,2025-12-01 16:29,Terremoto
4.9,"81 km E of Falam, Burma (Myanmar)",22.8129,94.4682,106.849,2025-12-01 15:55,Terremoto
2.4652435577597624,"11 km W of Anchor Point, Alaska",59.76137161254883,-152.041015625,61.96383666992188,2025-12-01 15:50,Terremoto
2.16,"10 km WNW of Laytonville, CA",39.7168350219727,-123.598663330078,0.779999971389771,2025-12-01 15:40,Terremoto
4.5,"3 km ESE of La Paz, Philippines",8.9684,126.2949,58.117,2025-12-01 15:32,Terremoto
